token,symbol,name,expiry,lotsize,tick_size
58067,BANKNIFTY25AUG26FUT,BANKNIFTY,25AUG2026,30,20.000000
58070,FINNIFTY25AUG26FUT,FINNIFTY,25AUG2026,60,10.000000
58072,NIFTY25AUG26FUT,NIFTY,25AUG2026,65,10.000000
