symbol,baseAsset,quoteAsset,status
BTCUSDT,BTC,USDT,TRADING
ETHUSDT,ETH,USDT,TRADING
SOLUSDT,SOL,USDT,TRADING
BNBUSDT,BNB,USDT,TRADING
